Participant ID||Start Date||End Date||Duration||Type||Object ID
3||2016-04-07 15:58:46.535||2016-04-07 15:58:47.931||1.396||startpage||1
3||2016-04-07 15:58:47.988||2016-04-07 15:59:02.043||14.055000000000001||question||1
3||2016-04-07 15:58:47.967||2016-04-07 15:59:10.453||22.486||page||1
3||2016-04-07 15:59:03.707||2016-04-07 15:59:08.626||4.9190000000000005||question||3
3||2016-04-07 15:59:02.043||2016-04-07 15:59:03.707||1.663||question||2
3||2016-04-07 15:59:10.471||2016-04-07 15:59:16.556||6.085||page||2
3||2016-04-07 15:58:46.535||2016-04-07 15:59:16.556||30.021||questionnaire||1
3||2016-04-07 15:59:08.626||2016-04-07 15:59:12.206||3.58||question||4
3||2016-04-07 15:59:13.85||2016-04-07 15:59:15.026||1.176||question||6
3||2016-04-07 15:59:16.556||null||0.0||endpage||2
3||2016-04-07 15:59:12.206||2016-04-07 15:59:13.85||1.644||question||5
4||2016-04-07 15:59:18.513||null||0.0||startpage||1
4||2016-04-07 15:59:18.513||null||0.0||questionnaire||1
5||2016-04-07 15:59:20.257||2016-04-07 15:59:21.361||1.104||startpage||1
5||2016-04-07 15:59:21.416||2016-04-07 15:59:25.193||3.777||question||1
5||2016-04-07 15:59:26.585||2016-04-07 15:59:30.419||3.8339999999999996||question||3
5||2016-04-07 15:59:25.193||2016-04-07 15:59:26.585||1.392||question||2
5||2016-04-07 15:59:21.386||2016-04-07 15:59:31.462||10.076||page||1
5||2016-04-07 15:59:30.419||2016-04-07 15:59:33.093||2.674||question||4
5||2016-04-07 15:59:20.257||2016-04-07 15:59:36.404||16.147||questionnaire||1
5||2016-04-07 15:59:36.404||null||0.0||endpage||2
5||2016-04-07 15:59:34.705||2016-04-07 15:59:35.864||1.1589999999999998||question||6
5||2016-04-07 15:59:31.48||2016-04-07 15:59:36.403||4.923||page||2
5||2016-04-07 15:59:33.093||2016-04-07 15:59:34.705||1.612||question||5
6||2016-04-07 15:59:39.346||null||0.0||startpage||1
6||2016-04-07 15:59:39.345||null||0.0||questionnaire||1
7||2016-04-07 15:59:41.577||2016-04-07 15:59:42.082||0.505||startpage||1
7||2016-04-07 15:59:47.705||2016-04-07 15:59:49.984||2.279||question||1
7||2016-04-07 15:59:42.11||2016-04-07 15:59:51.211||9.101||page||1
7||2016-04-07 15:59:45.456||2016-04-07 15:59:47.705||2.2489999999999997||question||3
7||2016-04-07 15:59:42.139||2016-04-07 15:59:45.456||3.3170000000000006||question||2
7||2016-04-07 15:59:52.897||2016-04-07 15:59:55.368||2.471||question||5
7||2016-04-07 15:59:51.227||2016-04-07 16:00:00.276||9.049||page||2
7||2016-04-07 15:59:55.368||2016-04-07 15:59:58.872||3.504||question||6
7||2016-04-07 16:00:00.277||null||0.0||endpage||2
7||2016-04-07 15:59:41.576||2016-04-07 16:00:00.277||18.701||questionnaire||1
7||2016-04-07 15:59:49.984||2016-04-07 15:59:52.897||2.913||question||4
8||2016-04-07 16:00:01.816||2016-04-07 16:00:02.802||0.986||startpage||1
8||2016-04-07 16:00:05.874||2016-04-07 16:00:08.688||2.8140000000000005||question||2
8||null||null||0.0||question||1
8||2016-04-07 16:00:02.824||2016-04-07 16:00:10.318||7.494||page||1
8||2016-04-07 16:00:02.85||2016-04-07 16:00:05.874||3.024||question||3
8||2016-04-07 16:00:08.688||2016-04-07 16:00:12.979||4.2909999999999995||question||5
8||2016-04-07 16:00:10.335||2016-04-07 16:00:16.879||6.544||page||2
8||2016-04-07 16:00:16.88||null||0.0||endpage||2
8||2016-04-07 16:00:01.816||2016-04-07 16:00:16.88||15.064||questionnaire||1
8||null||null||0.0||question||6
8||2016-04-07 16:00:12.979||2016-04-07 16:00:14.983||2.004||question||4
9||2016-04-07 16:00:19.542||2016-04-07 16:00:20.687||1.145||startpage||1
9||null||null||0.0||question||2
9||2016-04-07 16:00:25.446||2016-04-07 16:00:27.548||2.102||question||3
9||2016-04-07 16:00:20.736||2016-04-07 16:00:25.446||4.71||question||1
9||2016-04-07 16:00:20.71||2016-04-07 16:00:28.895||8.185||page||1
9||2016-04-07 16:00:33.328||null||0.0||endpage||2
9||null||null||0.0||question||5
9||2016-04-07 16:00:19.542||2016-04-07 16:00:33.328||13.786||questionnaire||1
9||2016-04-07 16:00:30.486||2016-04-07 16:00:32.637||2.151||question||6
9||2016-04-07 16:00:27.548||2016-04-07 16:00:30.486||2.938||question||4
9||2016-04-07 16:00:28.911||2016-04-07 16:00:33.328||4.417||page||2
10||2016-04-07 16:00:34.93||2016-04-07 16:00:36.092||1.162||startpage||1
10||2016-04-07 16:00:41.534||2016-04-07 16:00:42.18||0.646||question||3
10||2016-04-07 16:00:36.152||2016-04-07 16:00:41.534||5.382||question||2
10||2016-04-07 16:00:42.18||2016-04-07 16:00:43.757||1.5759999999999998||question||1
10||2016-04-07 16:00:36.116||2016-04-07 16:00:44.376||8.26||page||1
10||2016-04-07 16:00:50.636||null||0.0||endpage||2
10||null||null||0.0||question||5
10||2016-04-07 16:00:43.757||2016-04-07 16:00:47.228||3.471||question||4
10||null||null||0.0||question||6
10||2016-04-07 16:00:44.391||2016-04-07 16:00:50.636||6.245||page||2
10||2016-04-07 16:00:34.93||2016-04-07 16:00:50.636||15.706||questionnaire||1
11||2016-04-07 16:00:52.419||null||0.0||questionnaire||1
11||2016-04-07 16:00:52.419||null||0.0||startpage||1
12||2016-04-07 16:00:53.334||null||0.0||startpage||1
12||2016-04-07 16:00:53.334||null||0.0||questionnaire||1
13||2016-04-07 16:01:47.417||null||0.0||questionnaire||1
13||2016-04-07 16:01:47.417||2016-04-07 16:01:48.501||1.084||startpage||1
13||2016-04-07 16:01:48.524||null||0.0||page||1
14||2016-04-07 16:01:52.279||null||0.0||questionnaire||1
14||2016-04-07 16:01:52.28||2016-04-07 16:01:53.64||1.36||startpage||1
14||null||null||0.0||question||1
14||null||null||0.0||question||3
14||2016-04-07 16:01:53.667||2016-04-07 16:01:57.968||4.301||page||1
14||null||null||0.0||question||2
14||2016-04-07 16:01:57.988||null||0.0||page||2
15||2016-04-07 16:02:06.313||null||0.0||page||2
15||2016-04-07 16:01:59.153||2016-04-07 16:02:01.295||2.142||startpage||1
15||2016-04-07 16:02:01.346||2016-04-07 16:02:02.802||1.456||question||1
16||2016-04-07 16:02:07.173||2016-04-07 16:02:08.347||1.174||startpage||1
17||2016-04-07 16:02:11.333||2016-04-07 16:02:12.339||1.006||startpage||1
23||2016-04-07 16:02:32.857||2016-04-07 16:02:34.287||1.4299999999999997||question||1
23||2016-04-07 16:02:36.724||2016-04-07 16:02:38.055||1.331||question||6
15||2016-04-07 16:01:59.152||null||0.0||questionnaire||1
15||2016-04-07 16:02:01.321||2016-04-07 16:02:06.298||4.977||page||1
